address,point
sei1xus5czzkppwstls0felugzmyw8y5s7ddh0u207,8637.75
sei12ju5qku6dkfdstcy7hypkqena8vac66fa4aacc,5331.7
sei1fym50ulnlueszhnk6a053p0x2aqawg28wvrcvt,4222.9
sei1vrz5unhlzxgnc3yuuvefcev3v67hpm58g7azlk,3839
sei1k4snu282n3hgnfqspyka8777fv29lkl0wcxvs7,3741.05
sei1lqfr0z4jpe6nkcv4y6p0xf8wnpjvt7q0ptkd4p,2687.3
sei1eg9etsxl0aech6xp9h0fp5dwnk6d4gm07t2ca2,2101.85
sei1crw45e9hjlgg4klpvc6zy3rrr03z65rfuxxu8p,2049.05
sei1n9e39hx9tgtz6jh0y0qe5z3cwt8kdeag6d34y8,1919.5
sei1wl2wg0eelfzgh539ev6whw28ggyltay66am6r4,1919.5
sei178cgndae4cg6uwh7gd29rr5kexc3l6fxv3c4sk,1535.6
sei1jyrxdh27asrsp7svehfdm7um94xhmcvmqg4uc0,1461.5
sei1vrqryqz6ghc08ac80e3ef8s9dxzyurgc3fxlzx,1343.65
sei1mzvrdzekx3en2mr9dpqek6dlmlzzcf2vx2tysd,1337.15
sei1pdvjjk0c80kwj5fuexg26e8x6lnuxx207szul9,1322.4
sei18ngt5ew7fm0u7d8f3x2hmthh6jzpt4rrr4jkny,1151.7
sei1w8flz0hj8242p5e3n7qrehzc5wkgcdjcw4c6ce,1151.7
sei13upstqjychpasf8yl4e37dmxfy66vfm75x4tfm,1151.7
sei13s0vgz8jcwh8nhez7k43djyg3ql605x7855wld,1044.5
sei1ma23maqfy0pet04sgh0fhlkm0trpf5fzqt2fy9,1013.9
sei1rqplffp638l2asl5nprqzf8dx4ak2mnszyg9mp,959.75
sei1ycvqtphll94er0nmyjmlg760n330lwndjq5f5u,959.75
sei1c8ydwxp0r4eu9m46dchhkrhuxehefcfmee35xk,959.75
sei1lr5s08sykjug9v9r3v54as20tsdupzmszwtx5s,959.75
sei19jjvq9eqqjjmqyjdx4e7gp4mkeje4j4tydrsgd,959.75
sei1mk4dqjrxynsvqwgrd7w4mrzkpqh55j5ccnpea4,959.75
sei10w6ytk89zmtzsvr4tx4xgtzt3ff8m75940ke3h,959.75
sei1n25f9pet3fda6s2gwzuvchfh9c5w7hejtemjhc,959.75
sei1t3j82xfc6wvp6lpkedmm7xsu5cttpsz0wrtrkh,959.75
sei1pragjp9t99wlqaup23z0v4gm33yyswprve8lk7,959.75
sei1dlw57k8fzx748xk4gua3s8u8j0w5dgr3zuaw9j,959.75
sei1qmhgd794tre23ayvlpcjf5h4hw4ve78wm6jh87,959.75
sei156adscagk5plspv6tnkaegrf35cnkmvsaczsa6,959.75
sei1m45vk4k02zxgwdygpz2xhrd9frh76yutrh40fn,959.75
sei1p3h6c0277qdkvpr54x2e63m9ljpapetzux26sx,959.75
sei1ulaxryzmvz04q44uhug5a975pq0anlcym2ss3d,959.75
sei17saa5v0lgsmsafnxurjyg0wz94ltpjpvpqx2z4,959.75
sei1zp3m0mwyzwdghlnkxuc8txqjdv64r742em754v,953.25
sei1x953ndvc35clq93399q3wkelh4lj6chn7p60uv,950.65
sei1pnxuy5lsvh88g6hd8lwh4t9nzhxpq7nd0mhtka,945.45
sei13huv7vz3h89pf0r5qkmemvlvkmrjuspp5vyvck,937.65
sei17ht7q3u2fpeltwprjmh5xwvqupy53wqa8k9hql,936.35
sei19altuf67qes0924knycnhk7gd68vf69kc4uphl,919.45
sei1e5ypwlxdqdv69auldsq4ckdrrerfsx9lfuqppp,910.35
sei13sxwygejchwyt6gjxmvvqddls99zxuva5dayvc,894.75
sei14yps8227frsrpwpww9mwflr8njjt38944pdljj,886.95
sei13wva5zaphqu64ejqrcezxwnv06ytp99r42hhm3,884.35
sei19nr4d8h9srs3wqhep9uytna2k6wdszjcmcjjds,823.25
sei1wu02u6keees248qgzh234tclfrzj8jnvrwpdeh,770.86
sei1dkt74xgej0up2mqraaagy2dcnutau8wprgprfv,768.81
sei1rnlxnxsvhkz894w6w8w0q7spgyfvdz03pl45qn,767.8
sei18azwajvpxscez90mg7hxlx929ym8tsc8tzmrtk,767.8
sei1lx5c06gmj9adcy9k56hwzyaul8959pd84sva9q,767.8
sei1mff948qalpa4nzvpf43y7ulyrkgm6vfsqa40xy,767.8
sei1emmccckudwwhfpl53v7n55t7u6cvw0cuczc24v,575.85
sei1k7z7kjqq6ljayazvfpjpdqp3hluk357pjuszmj,575.85
sei1j80dpuj7y6dsjhfdm95gx7avtf4v2puu00kfqd,575.85
sei1mqtk6jhgmrh0683vhwd2vp82zazka0kumnqydt,575.85
sei1jh4avfgyrwsd38h3mf0ej0e7za74jc6augcl68,575.85
